loss,learning_rate,n_estimators,subsample,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy
log_loss,0.001,300,0.6000000000000001,friedman_mse,28,3,8,6,0.6354166666666666
log_loss,0.01,200,0.7000000000000001,squared_error,37,12,8,6,0.638558201058201
log_loss,0.01,200,0.7000000000000001,squared_error,26,18,8,6,0.6359126984126984
log_loss,0.01,200,0.5,squared_error,37,12,9,18,0.6365740740740741
exponential,0.001,150,0.6000000000000001,squared_error,53,7,6,22,0.6344246031746031
exponential,0.001,280,0.6000000000000001,squared_error,46,12,8,8,0.6321097883597884
log_loss,0.01,300,0.6000000000000001,squared_error,26,26,9,38,0.6395502645502645
log_loss,0.01,200,0.7000000000000001,squared_error,26,4,8,18,0.6370701058201058
log_loss,0.01,200,0.7000000000000001,friedman_mse,53,12,9,6,0.6342592592592593
exponential,0.001,160,0.6000000000000001,squared_error,53,7,11,18,0.6294642857142857
log_loss,0.001,200,0.6000000000000001,squared_error,43,12,8,6,0.6296296296296297
log_loss,0.01,200,0.7000000000000001,friedman_mse,26,4,9,38,0.6350859788359788
log_loss,0.01,300,0.7000000000000001,friedman_mse,26,4,8,18,0.6327711640211641
exponential,0.01,200,0.5,squared_error,37,12,9,18,0.6334325396825397
log_loss,0.01,240,0.7000000000000001,squared_error,26,18,8,6,0.6354166666666666
log_loss,0.01,200,0.9,squared_error,26,26,9,18,0.6349206349206349
exponential,0.01,300,0.6000000000000001,squared_error,26,26,9,38,0.6350859788359788
log_loss,0.01,130,0.6000000000000001,squared_error,37,4,8,37,0.6337632275132276
log_loss,0.01,200,0.6000000000000001,squared_error,26,4,9,18,0.6340939153439153
log_loss,0.01,170,0.5,squared_error,37,12,9,6,0.636739417989418
